created_at,text
Wed May 15 09:55:06 +0000 2019,@cypher_m00n @HumanityDAO We will reimburse participants who were Vetoed and grant HUM to those participants as wel… https://t.co/KPxDEY6hM7
Wed May 15 10:21:32 +0000 2019,"@0x_____________ @bitfalls @HumanityDAO Check Discord, will also publish blog post tomorrow. Sorry guys."
Wed May 15 10:39:33 +0000 2019,@bitfalls @0x_____________ @HumanityDAO @VitalikButerin We never prioritized getting Vitalik in. We should have sta… https://t.co/Xk5hEnjxhG
Wed May 15 11:09:06 +0000 2019,"@th0jest @HumanityDAO @VitalikButerin Yep, will clear things up in a blog post tomorrow. Self-sovereign identity is… https://t.co/CIfKjEDu7j"
Wed May 15 15:05:36 +0000 2019,@intocryptoast @cypher_m00n @HumanityDAO Are you sure we are to blame? Check the chain!
Wed May 15 15:24:30 +0000 2019,@vitmantug @intocryptoast @cypher_m00n @HumanityDAO Hopefully this will appease the community:… https://t.co/rmTQ22zeWj
Wed May 15 15:27:35 +0000 2019,@backus @HumanityDAO We don't have that much voting power at this point anyway. You are a good actor John. We want… https://t.co/kqQ56bzIMw
Wed May 15 15:28:55 +0000 2019,@intocryptoast @vitmantug @cypher_m00n @HumanityDAO I understand and sorry for disappointing people. Trying to act… https://t.co/oxkeA2BNlh
Thu May 16 11:28:30 +0000 2019,"@patfives @HumanityDAO I'll address this in a public post later today. For now, consider how the token distribution… https://t.co/8iNXIGXRvY"
Thu May 16 11:37:08 +0000 2019,@exiledsurfer @patfives @HumanityDAO Everything will be explained in a bit. Sit tight.
Thu May 16 11:43:14 +0000 2019,"@exiledsurfer @patfives @HumanityDAO Lol it's been 1 week. Wait for the explanation, you'll like it. Chill."
Fri May 17 01:31:41 +0000 2019,"If you see anyone attack me or other humans of the @HumanityDAO community, pay no mind. Always check the chain. Tha… https://t.co/xkqKOF20AW"
Fri May 17 02:42:49 +0000 2019,Anyone who was troll voted out of the first iteration of @HumanityDAO and is connected to the Twitter graph of conf… https://t.co/ibvIZWGFC0
Fri May 17 02:44:54 +0000 2019,Will also try to figure this out manually when I get a chance.
Fri May 17 02:48:55 +0000 2019,@nanexcool @HumanityDAO We're coming! Looking forward to working with everyone.
Fri May 17 06:50:17 +0000 2019,.@naval we coded Sovereign Individual in a few hundred lines of Solidity. Check it out! @HumanityDAO
Fri May 17 11:26:19 +0000 2019,Grateful to have world-class contributors thinking about self-sovereign identity @HumanityDAO. You’ll be more helpf… https://t.co/96nHCAf9Ys
Fri May 17 13:52:25 +0000 2019,.@HumanityDAO is a massive cooperative network. Join!
Fri May 17 21:55:45 +0000 2019,@pedrouid @paulith @spencecoin @HumanityDAO We voted no because we weren’t 100% and immediately realized web-of-tru… https://t.co/n4O9B1r1rD
Fri May 17 21:57:39 +0000 2019,@spencecoin @pedrouid @paulith @HumanityDAO People we didn’t share a Twitter graph with. Even if we were 99% sure t… https://t.co/4RG3wfGdAx
Fri May 17 21:59:16 +0000 2019,@spencecoin @pedrouid @paulith @HumanityDAO Unfortunate that early adopters don’t get 30K. I said in ethtrader happ… https://t.co/t29VEqCTZG
Fri May 17 22:00:01 +0000 2019,"@spencecoin @pedrouid @paulith @HumanityDAO Yes Twitter graph excludes some early adopters, but it’s working! Tried… https://t.co/z7u38eIz8w"
Fri May 17 22:02:25 +0000 2019,@pedrouid @paulith @spencecoin @HumanityDAO Yea I mean every system has to be bootstrapped. I’m surprised you guys… https://t.co/XKDJfQqQXF
Fri May 17 22:05:39 +0000 2019,@pedrouid @paulith @spencecoin @HumanityDAO We just got off 5 hour plane ride. No problem because decisions are bei… https://t.co/MXq0wHwAOj
Fri May 17 22:08:01 +0000 2019,@pedrouid @paulith @spencecoin @HumanityDAO You’re saying it’s unfair that we voted no on someone we may have been… https://t.co/QXlZy23rgM
Fri May 17 22:08:47 +0000 2019,@pedrouid @paulith @spencecoin @HumanityDAO We truly don’t care about celebrity. I saw this taking off and invited… https://t.co/K9XeQnoxCq
Fri May 17 22:09:28 +0000 2019,@pedrouid @paulith @spencecoin @HumanityDAO 8 follower person almost definitely is too but 99%. My high school friends are 100% human.
Fri May 17 22:14:28 +0000 2019,@pedrouid @paulith @spencecoin @HumanityDAO Hoping long-term this concept solves trolling and maybe even shared tru… https://t.co/SkyeDPteG3
Fri May 17 22:20:50 +0000 2019,@AnettRolikova @pedrouid @paulith @spencecoin @HumanityDAO Troll. We’ll have tool up soon that shows who booted you… https://t.co/41Pp04SVqQ
Fri May 17 22:24:07 +0000 2019,@marc0olo @pedrouid @paulith @spencecoin @HumanityDAO Working on a tool for this should be ready 1-2 days 👍
Fri May 17 22:25:47 +0000 2019,@marc0olo @pedrouid @paulith @spencecoin @HumanityDAO Yea I can do that for you if you’re in the web
Fri May 17 22:30:38 +0000 2019,"@amingilani @HumanityDAO You’re in the web. Should be good to go. Voters, Amin is in the web of trust!"
Sat May 18 04:35:53 +0000 2019,Money is trust.
